Date,QUAL.Open,QUAL.High,QUAL.Low,QUAL.Close,QUAL.Volume,QUAL.Adjusted
2015-01-02,62.70000076293945,62.709999084472656,61.7599983215332,62.2400016784668,29700,52.721641540527344
2015-01-05,61.90999984741211,61.90999984741211,61.13999938964844,61.29999923706055,21300,51.92539596557617
2015-01-06,61.349998474121094,61.5099983215332,60.400001525878906,60.77000045776367,26800,51.4764404296875
2015-01-07,60.869998931884766,61.470001220703125,60.869998931884766,61.459999084472656,18500,52.060916900634766
2015-01-08,62.04999923706055,62.61000061035156,62.04999923706055,62.61000061035156,511700,53.035057067871094
2015-01-09,62.619998931884766,62.619998931884766,61.88999938964844,62.06999969482422,68400,52.577640533447266
2015-01-12,62.119998931884766,62.119998931884766,61.38999938964844,61.560001373291016,41900,52.14562225341797
2015-01-13,62,62.5,61.04999923706055,61.38999938964844,532900,52.001625061035156
2015-01-14,60.95000076293945,61.27000045776367,60.650001525878906,61.150001525878906,51000,51.7983283996582
2015-01-15,61.5,61.58000183105469,60.58000183105469,60.58000183105469,92400,51.315513610839844
2015-01-16,60.38999938964844,61.400001525878906,60.38999938964844,61.400001525878906,32700,52.010108947753906
2015-01-20,61.779998779296875,61.779998779296875,60.97999954223633,61.68000030517578,272200,52.247283935546875
2015-01-21,61.4900016784668,61.91999816894531,61.470001220703125,61.79999923706055,36500,52.34891891479492
2015-01-22,62.13999938964844,62.790000915527344,61.61000061035156,62.790000915527344,250400,53.187522888183594
2015-01-23,62.790000915527344,62.97999954223633,62.650001525878906,62.650001525878906,34200,53.068939208984375
2015-01-26,62.599998474121094,62.779998779296875,62.380001068115234,62.7599983215332,26400,53.162109375
2015-01-27,61.88999938964844,62.13999938964844,61.439998626708984,61.709999084472656,1670800,52.27267837524414
2015-01-28,62.119998931884766,62.18000030517578,61.130001068115234,61.130001068115234,70700,51.78139877319336
2015-01-29,61.130001068115234,61.77000045776367,60.689998626708984,61.720001220703125,26100,52.28116989135742
2015-01-30,61.619998931884766,61.959999084472656,61.119998931884766,61.16999816894531,42900,51.815269470214844
2015-02-02,61.459999084472656,61.7599983215332,60.58000183105469,61.720001220703125,107100,52.28116989135742
2015-02-03,62.2400016784668,62.650001525878906,61.869998931884766,62.650001525878906,40400,53.068939208984375
2015-02-04,62.2400016784668,62.529998779296875,62.09000015258789,62.20000076293945,99800,52.687744140625
2015-02-05,62.529998779296875,62.959999084472656,62.529998779296875,62.959999084472656,39000,53.331520080566406
2015-02-06,63.0099983215332,63.06999969482422,62.45000076293945,62.540000915527344,28600,52.97574996948242
2015-02-09,62.18000030517578,62.650001525878906,62.18000030517578,62.34000015258789,31400,52.80634307861328
2015-02-10,62.709999084472656,63.0099983215332,62.470001220703125,63,81500,53.36540603637695
2015-02-11,62.93000030517578,63.130001068115234,62.7599983215332,63.029998779296875,104200,53.39081954956055
2015-02-12,63.189998626708984,63.599998474121094,63.189998626708984,63.54999923706055,60200,53.831302642822266
2015-02-13,63.79999923706055,63.939998626708984,63.630001068115234,63.939998626708984,57600,54.16164779663086
2015-02-17,63.9900016784668,64.06999969482422,63.72999954223633,63.97999954223633,186600,54.1955451965332
2015-02-18,63.959999084472656,64.12999725341797,63.81999969482422,64.11000061035156,24900,54.30565643310547
2015-02-19,64.01000213623047,64.339996337890625,64.01000213623047,64.2300033569336,24200,54.407318115234375
2015-02-20,64.26000213623047,64.69999694824219,64.01000213623047,64.69999694824219,28100,54.805423736572266
2015-02-23,64.720001220703125,64.75,64.45999908447266,64.75,34300,54.84778594970703
2015-02-24,64.75,64.9800033569336,64.660003662109375,64.88999938964844,31300,54.96637725830078
2015-02-25,64.76000213623047,65.12000274658203,64.76000213623047,64.98999786376953,25300,55.05107116699219
2015-02-26,65.06999969482422,65.06999969482422,64.79000091552734,64.94999694824219,91300,55.01719284057617
2015-02-27,64.83000183105469,65.05000305175781,64.81999969482422,64.8499984741211,40700,54.932491302490234
2015-03-02,64.95999908447266,65.36000061035156,64.94999694824219,65.3499984741211,31900,55.356021881103516
2015-03-03,65.33000183105469,65.33000183105469,64.66999816894531,64.9800033569336,92100,55.0426025390625
2015-03-04,64.88999938964844,64.88999938964844,64.410003662109375,64.70999908447266,51300,54.813899993896484
2015-03-05,64.86000061035156,64.94000244140625,64.66999816894531,64.910003662109375,36300,54.983333587646484
2015-03-06,64.589996337890625,64.68000030517578,63.86000061035156,63.93000030517578,51200,54.153175354003906
2015-03-09,63.970001220703125,64.4000015258789,63.970001220703125,64.29000091552734,290300,54.4581184387207
2015-03-10,63.79999923706055,63.83000183105469,63.220001220703125,63.220001220703125,39500,53.55177688598633
2015-03-11,63.2599983215332,63.400001525878906,62.86000061035156,62.900001525878906,28700,53.28070068359375
2015-03-12,63.0099983215332,63.56999969482422,63.0099983215332,63.560001373291016,26300,53.839778900146484
2015-03-13,63.439998626708984,63.439998626708984,62.84000015258789,63.130001068115234,24900,53.47553634643555
2015-03-16,63.459999084472656,64.05999755859375,63.45000076293945,64.05999755859375,33100,54.2633056640625
2015-03-17,63.880001068115234,63.97999954223633,63.58000183105469,63.779998779296875,43600,54.0261344909668
2015-03-18,63.7599983215332,64.76000213623047,63.29999923706055,64.55999755859375,35900,54.68684005737305
2015-03-19,64.54000091552734,64.5999984741211,64.3499984741211,64.55000305175781,49400,54.67837142944336
2015-03-20,64.9000015258789,65.33000183105469,64.88999938964844,65.16999816894531,32800,55.20355224609375
2015-03-23,65.1500015258789,65.2300033569336,65.06999969482422,65.160003662109375,17100,55.19508361816406
2015-03-24,64.91999816894531,65.220001220703125,64.70999908447266,64.70999908447266,16300,54.813899993896484
2015-03-25,64.69999694824219,64.83000183105469,63.5,63.560001373291016,25400,54.027618408203125
2015-03-26,63.13999938964844,63.709999084472656,63.13999938964844,63.459999084472656,876800,53.94261932373047
2015-03-27,63.470001220703125,63.599998474121094,63.400001525878906,63.4900016784668,94500,53.9681282043457
2015-03-30,63.97999954223633,64.26000213623047,63.97999954223633,64.220001220703125,40000,54.58864212036133
2015-03-31,63.91999816894531,64.11000061035156,63.599998474121094,63.61000061035156,555200,54.07012939453125
2015-04-01,63.43000030517578,63.56999969482422,62.880001068115234,63.22999954223633,84900,53.747127532958984
2015-04-02,63.31999969482422,63.52000045776367,63.11000061035156,63.349998474121094,51000,53.84910583496094
2015-04-06,63,63.880001068115234,62.90999984741211,63.70000076293945,34700,54.146636962890625
2015-04-07,63.86000061035156,64.1500015258789,63.81999969482422,63.81999969482422,36600,54.24863815307617
2015-04-08,63.81999969482422,64.08000183105469,63.66999816894531,63.900001525878906,29000,54.31663131713867
2015-04-09,64.01000213623047,64.25,63.81999969482422,64.220001220703125,41100,54.58864212036133
2015-04-10,64.2300033569336,64.4800033569336,64.19000244140625,64.37999725341797,18100,54.724639892578125
2015-04-13,64.58000183105469,64.68000030517578,64.1500015258789,64.16999816894531,26700,54.54615020751953
2015-04-14,64.0999984741211,64.20999908447266,63.779998779296875,64.01000213623047,76900,54.41013717651367
