Date,VDEV.L.Open,VDEV.L.High,VDEV.L.Low,VDEV.L.Close,VDEV.L.Volume,VDEV.L.Adjusted
2015-01-02,50.349998474121094,50.349998474121094,50.349998474121094,50.02000045776367,3500,40.673683166503906
2015-01-05,49.130001068115234,49.130001068115234,49.130001068115234,49.130001068115234,0,39.949981689453125
2015-01-06,48.72999954223633,48.72999954223633,48.72999954223633,48.72999954223633,0,39.62471389770508
2015-01-07,48.83000183105469,48.83000183105469,48.83000183105469,48.83000183105469,0,39.706058502197266
2015-01-08,49.915000915527344,49.915000915527344,49.915000915527344,49.915000915527344,0,40.588294982910156
2015-01-09,49.439998626708984,49.439998626708984,49.439998626708984,49.439998626708984,0,40.20207977294922
2015-01-12,49.375,49.375,49.375,49.375,0,40.149208068847656
2015-01-13,49.36000061035156,49.36000061035156,49.36000061035156,49.845001220703125,20000,40.53139114379883
2015-01-14,48.875,48.875,48.875,48.875,0,39.74264144897461
2015-01-15,49.02000045776367,49.02000045776367,49.02000045776367,49.02000045776367,0,39.86054229736328
2015-01-16,48.95000076293945,48.95000076293945,48.95000076293945,49.119998931884766,160,39.94184875488281
2015-01-19,49.51499938964844,49.51499938964844,49.51499938964844,49.51499938964844,0,40.2630500793457
2015-01-20,49.45000076293945,49.45000076293945,49.45000076293945,49.45000076293945,0,40.210208892822266
2015-01-21,49.904998779296875,49.904998779296875,49.904998779296875,49.904998779296875,0,40.580177307128906
2015-01-22,50.189998626708984,50.189998626708984,50.189998626708984,50.189998626708984,0,40.81193161010742
2015-01-23,50.43000030517578,50.43000030517578,50.43000030517578,50.43000030517578,0,41.007080078125
2015-01-26,50.39500045776367,50.39500045776367,50.39500045776367,50.39500045776367,0,40.97863006591797
2015-01-27,50.130001068115234,50.130001068115234,50.130001068115234,50.130001068115234,0,40.76314163208008
2015-01-28,50.095001220703125,50.095001220703125,50.095001220703125,50.095001220703125,0,40.73468780517578
2015-01-29,49.599998474121094,49.599998474121094,49.599998474121094,49.52000045776367,1,40.267127990722656
2015-01-30,49.56999969482422,49.56999969482422,49.56999969482422,49.56999969482422,0,40.307762145996094
2015-02-02,50,50,50,49.685001373291016,170,40.40128707885742
2015-02-03,50.099998474121094,50.2599983215332,50.099998474121094,50.400001525878906,17537,40.98268127441406
2015-02-04,50.689998626708984,50.689998626708984,50.689998626708984,50.689998626708984,0,41.21849060058594
2015-02-05,50.88999938964844,50.88999938964844,50.88999938964844,50.88999938964844,0,41.38112258911133
2015-02-06,50.970001220703125,50.970001220703125,50.970001220703125,50.970001220703125,0,41.4461784362793
2015-02-09,50.63999938964844,50.63999938964844,50.630001068115234,50.630001068115234,432,41.16972351074219
2015-02-10,50.810001373291016,50.810001373291016,50.810001373291016,50.70000076293945,20,41.22663116455078
2015-02-11,50.79999923706055,50.79999923706055,50.79999923706055,50.79999923706055,0,41.307960510253906
2015-02-12,51.18000030517578,51.18000030517578,51.18000030517578,51.18000030517578,0,41.61693572998047
2015-02-13,51.65999984741211,51.65999984741211,51.65999984741211,51.65999984741211,0,42.00725173950195
2015-02-16,51.654998779296875,51.654998779296875,51.654998779296875,51.654998779296875,0,42.003177642822266
2015-02-17,51.7599983215332,51.7599983215332,51.7599983215332,51.68000030517578,5000,42.02351760864258
2015-02-18,51.845001220703125,51.845001220703125,51.845001220703125,51.845001220703125,0,42.15768814086914
2015-02-19,51.86000061035156,51.86000061035156,51.86000061035156,51.97999954223633,2500,42.26746368408203
2015-02-20,51.88999938964844,51.88999938964844,51.810001373291016,51.915000915527344,9,42.214595794677734
2015-02-23,52.16999816894531,52.16999816894531,52.16999816894531,52.16999816894531,0,42.42195510864258
2015-02-24,52.220001220703125,52.34000015258789,52.220001220703125,52.349998474121094,7500,42.56832504272461
2015-02-25,52.345001220703125,52.345001220703125,52.345001220703125,52.345001220703125,5000,42.56426239013672
2015-02-26,52.349998474121094,52.349998474121094,52.349998474121094,52.349998474121094,0,42.56832504272461
2015-02-27,52.34000015258789,52.34000015258789,52.34000015258789,52.34000015258789,0,42.56018829345703
2015-03-02,52.30500030517578,52.30500030517578,52.30500030517578,52.30500030517578,0,42.531734466552734
2015-03-03,52.130001068115234,52.130001068115234,52.130001068115234,52.130001068115234,0,42.389427185058594
2015-03-04,52.130001068115234,52.130001068115234,52.119998931884766,51.834999084472656,5000,42.14955520629883
2015-03-05,52.02000045776367,52.02000045776367,52.02000045776367,52.02000045776367,0,42.29998779296875
2015-03-06,52.279998779296875,52.279998779296875,52.040000915527344,51.560001373291016,405,41.92593002319336
2015-03-09,51.40999984741211,51.40999984741211,51.40999984741211,51.345001220703125,7,41.75111389160156
2015-03-10,50.58000183105469,50.58000183105469,50.58000183105469,50.58000183105469,0,41.129058837890625
2015-03-11,50.59000015258789,50.59000015258789,50.54999923706055,50.619998931884766,2908,41.16156768798828
2015-03-12,50.994998931884766,50.994998931884766,50.994998931884766,50.994998931884766,0,41.46650695800781
2015-03-13,51.04999923706055,51.04999923706055,51.04999923706055,50.63999938964844,830,41.17783737182617
2015-03-16,51.400001525878906,51.400001525878906,51.400001525878906,51.334999084472656,230,41.74297332763672
2015-03-17,51.185001373291016,51.185001373291016,51.185001373291016,51.185001373291016,0,41.621009826660156
2015-03-18,51.290000915527344,51.290000915527344,51.290000915527344,51.290000915527344,0,41.706398010253906
2015-03-19,51.83000183105469,51.83000183105469,51.83000183105469,51.494998931884766,15000,42.049903869628906
2015-03-20,52.244998931884766,52.244998931884766,52.244998931884766,52.244998931884766,0,42.66233444213867
2015-03-23,52.40999984741211,52.40999984741211,52.40999984741211,52.40999984741211,0,42.797080993652344
2015-03-24,52.400001525878906,52.400001525878906,52.400001525878906,52.400001525878906,0,42.788917541503906
2015-03-25,52.400001525878906,52.400001525878906,52.400001525878906,51.90999984741211,260000,42.38878631591797
2015-03-26,51.38999938964844,51.38999938964844,51.38999938964844,51.38999938964844,0,41.96416473388672
2015-03-27,51.22999954223633,51.349998474121094,51.209999084472656,51.36000061035156,34220,41.939674377441406
2015-03-30,51.78499984741211,51.78499984741211,51.78499984741211,51.78499984741211,0,42.286720275878906
2015-03-31,51.494998931884766,51.494998931884766,51.494998931884766,51.494998931884766,0,42.049903869628906
2015-04-01,51.23500061035156,51.23500061035156,51.23500061035156,51.23500061035156,0,41.83760070800781
2015-04-02,51.60499954223633,51.60499954223633,51.60499954223633,51.60499954223633,0,42.139732360839844
2015-04-07,52.119998931884766,52.16999816894531,52.119998931884766,52.20000076293945,5123,42.62560272216797
2015-04-08,52.119998931884766,52.27000045776367,52.119998931884766,52.14500045776367,4994,42.58069610595703
2015-04-09,52.099998474121094,52.099998474121094,52.099998474121094,52.099998474121094,0,42.543949127197266
2015-04-10,52.4900016784668,52.4900016784668,52.4900016784668,52.4900016784668,0,42.86240768432617
2015-04-13,52.47999954223633,52.47999954223633,52.47999954223633,52.47999954223633,0,42.8542366027832
2015-04-14,52.42499923706055,52.42499923706055,52.42499923706055,52.42499923706055,0,42.809326171875
2015-04-15,52.66999816894531,52.66999816894531,52.66999816894531,52.66999816894531,0,43.00938415527344
2015-04-16,52.775001525878906,52.775001525878906,52.775001525878906,52.775001525878906,0,43.09514236450195
2015-04-17,52.540000915527344,52.540000915527344,52.20000076293945,52.20500183105469,3002,42.62969207763672
2015-04-20,52.654998779296875,52.654998779296875,52.654998779296875,52.654998779296875,0,42.99713897705078
2015-04-21,52.779998779296875,52.779998779296875,52.779998779296875,52.779998779296875,0,43.09921646118164
2015-04-22,52.66999816894531,52.66999816894531,52.599998474121094,52.755001068115234,230,43.07879638671875
2015-04-23,52.95500183105469,52.95500183105469,52.95500183105469,52.95500183105469,0,43.24212646484375
2015-04-24,53.220001220703125,53.220001220703125,53.220001220703125,53.2599983215332,2500,43.49117660522461
2015-04-27,53.48500061035156,53.48500061035156,53.48500061035156,53.48500061035156,0,43.674903869628906
2015-04-28,53.20000076293945,53.20000076293945,53.20000076293945,53.20000076293945,0,43.442195892333984
2015-04-29,52.994178771972656,52.994178771972656,52.994178771972656,53.05500030517578,2162,43.32379150390625
2015-04-30,52.88999938964844,52.88999938964844,52.88999938964844,52.79999923706055,10000,43.11553955078125
2015-05-01,52.724998474121094,52.724998474121094,52.724998474121094,52.724998474121094,0,43.05430603027344
2015-05-05,52.540000915527344,52.540000915527344,52.540000915527344,52.540000915527344,0,42.90323257446289
2015-05-06,52.415000915527344,52.415000915527344,52.415000915527344,52.415000915527344,0,42.80116271972656
