Date,VIG.Open,VIG.High,VIG.Low,VIG.Close,VIG.Volume,VIG.Adjusted
2015-01-02,81.339996337890625,81.5999984741211,80.5,81.0199966430664,1011200,65.36466979980469
2015-01-05,80.61000061035156,80.779998779296875,79.54000091552734,79.720001220703125,1384100,64.31585693359375
2015-01-06,79.8499984741211,80.05999755859375,78.5999984741211,79.0199966430664,1266100,63.7510871887207
2015-01-07,79.63999938964844,80.1500015258789,79.38999938964844,80.05000305175781,977000,64.58211517333984
2015-01-08,80.62999725341797,81.4800033569336,80.62999725341797,81.44000244140625,1216900,65.7035140991211
2015-01-09,81.51000213623047,81.51000213623047,80.54000091552734,80.76000213623047,793300,65.154876708984375
2015-01-12,80.81999969482422,80.81999969482422,79.95999908447266,80.18000030517578,667000,64.686981201171875
2015-01-13,80.70999908447266,81.20999908447266,79.43000030517578,79.98999786376953,940600,64.53369140625
2015-01-14,79.029998779296875,79.5999984741211,78.66999816894531,79.48999786376953,1007800,64.13029479980469
2015-01-15,79.86000061035156,80.08000183105469,79.06999969482422,79.1500015258789,784300,63.855995178222656
2015-01-16,79.029998779296875,80.13999938964844,78.86000061035156,80.0199966430664,987200,64.55786895751953
2015-01-20,80.279998779296875,80.37000274658203,79.2699966430664,80.0199966430664,989800,64.55786895751953
2015-01-21,79.839996337890625,80.4800033569336,79.55000305175781,80.30999755859375,1750400,64.79183197021484
2015-01-22,80.69000244140625,81.51000213623047,80.05000305175781,81.44999694824219,1008100,65.711578369140625
2015-01-23,81.339996337890625,81.41999816894531,80.88999938964844,80.94999694824219,871000,65.308197021484375
2015-01-26,80.94000244140625,81.19000244140625,80.529998779296875,81.18000030517578,944900,65.4937515258789
2015-01-27,80.44999694824219,80.80000305175781,79.83000183105469,80.37000274658203,1296800,64.84027099609375
2015-01-28,80.660003662109375,80.720001220703125,79.19999694824219,79.279998779296875,1032800,63.96087646484375
2015-01-29,79.30999755859375,79.80999755859375,78.529998779296875,79.720001220703125,979100,64.31585693359375
2015-01-30,79.06999969482422,79.44000244140625,78.36000061035156,78.41999816894531,1537900,63.26704788208008
2015-02-02,78.589996337890625,79.55999755859375,77.95999908447266,79.4800033569336,905900,64.12223052978516
2015-02-03,79.81999969482422,80.80000305175781,79.81999969482422,80.76000213623047,775900,65.154876708984375
2015-02-04,80.44000244140625,80.87999725341797,80.19000244140625,80.37999725341797,719900,64.84832763671875
2015-02-05,80.73999786376953,81.23999786376953,80.660003662109375,81.20999908447266,800600,65.51795196533203
2015-02-06,81.339996337890625,81.54000091552734,80.76000213623047,80.9800033569336,963000,65.33238983154297
2015-02-09,80.779998779296875,81.0999984741211,80.33000183105469,80.55999755859375,542700,64.993560791015625
2015-02-10,81.12000274658203,81.5,80.5999984741211,81.4000015258789,668600,65.67118072509766
2015-02-11,81.339996337890625,81.6500015258789,81.029998779296875,81.43000030517578,656000,65.69542694091797
2015-02-12,81.7300033569336,81.94000244140625,81.4800033569336,81.910003662109375,7148400,66.08270263671875
2015-02-13,81.98999786376953,82.38999938964844,81.94000244140625,82.38999938964844,764900,66.469940185546875
2015-02-17,82.13999938964844,82.5999984741211,82.01000213623047,82.5,606900,66.55867767333984
2015-02-18,82.31999969482422,82.62999725341797,82.23999786376953,82.56999969482422,582800,66.61515045166016
2015-02-19,82.20999908447266,82.589996337890625,82.06999969482422,82.4000015258789,933100,66.47801971435547
2015-02-20,82.23999786376953,82.87000274658203,81.81999969482422,82.839996337890625,660600,66.832977294921875
2015-02-23,82.69999694824219,82.80000305175781,82.51000213623047,82.7300033569336,1143700,66.7442626953125
2015-02-24,82.76000213623047,83.12999725341797,82.589996337890625,83.04000091552734,751200,66.99434661865234
2015-02-25,83.04000091552734,83.18000030517578,82.83000183105469,82.9800033569336,1009100,66.94593048095703
2015-02-26,82.93000030517578,83.01000213623047,82.63999938964844,82.87999725341797,747800,66.86524963378906
2015-02-27,82.88999938964844,83.05999755859375,82.79000091552734,82.80000305175781,600000,66.80073547363281
2015-03-02,82.83000183105469,83.279998779296875,82.80000305175781,83.220001220703125,662600,67.139556884765625
2015-03-03,83.04000091552734,83.12999725341797,82.3499984741211,82.68000030517578,1160400,66.703887939453125
2015-03-04,82.51000213623047,82.5199966430664,81.9000015258789,82.19999694824219,717100,66.31664276123047
2015-03-05,82.3499984741211,82.48999786376953,82.1500015258789,82.43000030517578,656500,66.50221252441406
2015-03-06,82.12000274658203,82.12000274658203,81.089996337890625,81.2699966430664,963400,65.56636047363281
2015-03-09,81.30999755859375,81.93000030517578,81.30999755859375,81.76000213623047,885800,65.96168518066406
2015-03-10,81.220001220703125,81.25,80.51000213623047,80.529998779296875,1135600,64.96934509277344
2015-03-11,80.6500015258789,80.6500015258789,80.2300033569336,80.29000091552734,813400,64.77571105957031
2015-03-12,80.56999969482422,81.339996337890625,80.56999969482422,81.30000305175781,926400,65.59056854248047
2015-03-13,81.220001220703125,81.220001220703125,80.160003662109375,80.63999938964844,835000,65.05806732177734
2015-03-16,81,81.75,80.94000244140625,81.75,768100,65.95361328125
2015-03-17,81.45999908447266,81.470001220703125,81.05000305175781,81.279998779296875,923300,65.57440948486328
2015-03-18,81.08000183105469,82.36000061035156,80.44000244140625,82.05000305175781,806500,66.19564056396484
2015-03-19,81.86000061035156,81.9000015258789,81.36000061035156,81.61000061035156,838800,65.8406753540039
2015-03-20,82,82.55000305175781,81.9000015258789,82.220001220703125,783600,66.33280944824219
2015-03-23,81.7300033569336,82.05000305175781,81.69999694824219,81.720001220703125,564600,66.299530029296875
2015-03-24,81.69999694824219,81.94999694824219,81.36000061035156,81.37000274658203,713100,66.01557159423828
2015-03-25,81.529998779296875,81.529998779296875,80.1500015258789,80.16999816894531,695800,65.0420150756836
2015-03-26,79.9000015258789,80.36000061035156,79.54000091552734,80.01000213623047,986600,64.9122085571289
2015-03-27,79.91999816894531,80.3499984741211,79.910003662109375,80.26000213623047,671400,65.11503601074219
2015-03-30,80.5999984741211,81.37000274658203,80.5999984741211,81.23999786376953,1165700,65.910125732421875
2015-03-31,80.9000015258789,81.2300033569336,80.470001220703125,80.470001220703125,817000,65.28539276123047
2015-04-01,80.589996337890625,80.68000030517578,79.80000305175781,80.23999786376953,1708200,65.09880065917969
2015-04-02,80.23999786376953,80.7300033569336,80.12999725341797,80.44000244140625,661200,65.26107025146484
2015-04-06,80.11000061035156,81.33000183105469,80.0199966430664,81.11000061035156,778900,65.80463409423828
2015-04-07,81.0999984741211,81.37000274658203,80.83000183105469,80.83000183105469,700700,65.57747650146484
2015-04-08,80.910003662109375,81.19999694824219,80.660003662109375,81.06999969482422,958800,65.77217864990234
2015-04-09,80.98999786376953,81.5199966430664,80.83000183105469,81.41999816894531,582000,66.0561294555664
2015-04-10,81.58000183105469,81.720001220703125,81.30999755859375,81.5999984741211,709400,66.20215606689453
2015-04-13,81.54000091552734,81.839996337890625,81.19999694824219,81.23999786376953,786100,65.910125732421875
2015-04-14,81.16999816894531,81.4000015258789,80.76000213623047,81.2699966430664,656500,65.93444061279297
2015-04-15,81.470001220703125,81.779998779296875,81.31999969482422,81.4000015258789,660900,66.03990173339844
2015-04-16,81.19999694824219,81.41999816894531,81.05999755859375,81.1500015258789,607200,65.83708953857422
2015-04-17,80.75,80.76000213623047,79.86000061035156,80.19000244140625,829800,65.058258056640625
2015-04-20,80.61000061035156,81.18000030517578,80.54000091552734,81.029998779296875,602900,65.739715576171875
2015-04-21,81.30999755859375,81.43000030517578,80.8499984741211,80.9800033569336,1179400,65.69915008544922
2015-04-22,81.1500015258789,81.44000244140625,80.70999908447266,81.3499984741211,606600,65.99934387207031
2015-04-23,81.04000091552734,81.62000274658203,80.94999694824219,81.37000274658203,627500,66.01557159423828
2015-04-24,81.410003662109375,81.66999816894531,81.23999786376953,81.589996337890625,537300,66.19404602050781
2015-04-27,81.73999786376953,81.779998779296875,81.23999786376953,81.36000061035156,715000,66.007476806640625
2015-04-28,81.12000274658203,81.589996337890625,80.80999755859375,81.55000305175781,468100,66.16162109375
2015-04-29,81.18000030517578,81.33000183105469,80.75,81.08000183105469,716100,65.7802963256836
2015-04-30,80.87000274658203,81.0199966430664,80.029998779296875,80.30000305175781,768200,65.147491455078125
2015-05-01,80.589996337890625,81.19999694824219,80.589996337890625,81.160003662109375,818700,65.8451919555664
2015-05-04,81.279998779296875,81.68000030517578,81.2699966430664,81.36000061035156,591200,66.007476806640625
2015-05-05,81.220001220703125,81.4000015258789,80.4000015258789,80.529998779296875,772600,65.334075927734375
2015-05-06,80.779998779296875,80.9000015258789,79.9000015258789,80.30999755859375,939200,65.15557861328125
2015-05-07,80.26000213623047,80.91999816894531,80.26000213623047,80.720001220703125,700900,65.48822021484375
2015-05-08,81.41999816894531,81.9000015258789,81.2699966430664,81.6500015258789,561500,66.24275970458984
2015-05-11,81.56999969482422,81.80999755859375,81.33000183105469,81.3499984741211,503900,65.99934387207031
2015-05-12,81.01000213623047,81.410003662109375,80.69000244140625,81.160003662109375,475300,65.8451919555664
2015-05-13,81.37999725341797,81.66999816894531,81.089996337890625,81.18000030517578,658700,65.861419677734375
2015-05-14,81.589996337890625,82.13999938964844,81.5199966430664,82.08000183105469,700800,66.59159088134766
2015-05-15,82.13999938964844,82.29000091552734,81.95999908447266,82.29000091552734,579700,66.76197052001953
2015-05-18,82.220001220703125,82.55000305175781,82.12000274658203,82.44000244140625,497600,66.8836441040039
2015-05-19,82.44999694824219,82.5,82.13999938964844,82.31999969482422,537600,66.78632354736328
2015-05-20,82.31999969482422,82.470001220703125,82.12000274658203,82.13999938964844,702400,66.640289306640625
2015-05-21,82.0999984741211,82.44999694824219,81.95999908447266,82.30999755859375,485900,66.77819061279297
2015-05-22,82.08000183105469,82.19000244140625,81.910003662109375,81.93000030517578,544100,66.46989440917969
2015-05-26,81.68000030517578,81.76000213623047,80.91999816894531,81.160003662109375,710400,65.8451919555664
2015-05-27,81.20999908447266,81.970001220703125,81.20999908447266,81.86000061035156,630600,66.413116455078125
2015-05-28,81.76000213623047,81.839996337890625,81.45999908447266,81.73999786376953,400600,66.31575775146484
